"99439","Colophon phrase of MS Pune BORI 267-1892-95","99434","Nāmamuktāvalī","fol. 4b

iti śrīmaccaraṇadāsānujīvinā bālakṛṣṇena kṛtā nāmamuktāvalī saṃpūrṇṇā /","Colophon phrase","99435","MS Pune BORI 267-1892-95",""
"103457","Colophon phrase of MS Pune BORI 268-1882-83","89216","Saṃkṣepaśārīraka","fol. 24b.

iti śrīdeveśvarapūjyapādaśiṣyaśrīsarvajñātmamahāmunekṛtau śārīraprakaraṇasaṅkṣepaśāri(ra)ke tṛtīyo 'dhyāyaḥ// //cha//","Colophon phrase","103454","MS Pune BORI 268-1882-83",""
"103459","Colophon phrase of MS Pune BORI 268-1882-83","89216","Saṃkṣepaśārīraka","fol. 4 of 4th Adhy.

 iti śrīsarvajñātmamahāmuniviracite saṅkṣepaśārīrake phalalakṣaṇaṃ caturtho 'dhyāyaḥ // śrī // śrīr astu // cotho adhyā // //","Colophon phrase","103454","MS Pune BORI 268-1882-83",""
"103472","Colophon phrase of MS Pune BORI 269-1882-83","91507","Anvayārthaprakāśikā on Sarvajñātman's Saṃkṣepaśārīraka","fol. 18b

iti śrīmatparamahaṃsaparivrājakācāryakṛṣṇatīrthaśiṣyarāmatīrthaviracitāyāṃ saṅkṣepaśārīrakaṭīkāyām anvayārthakāśikāyāṃ caturtho 'dhyāyaḥ samāptaḥ //

// śrīr astu // lekhakapāṭha(ka)yo śubham // phalādhyāya caturtha samāptaḥ //

devabhaṭṭena vāradvayaṃ vācitaḥ // ślo 500 / 40","Colophon phrase","103468","MS Pune BORI 269-1882-83",""
"99993","Colophon phrase of MS Pune BORI 269-1892-95","99966","Pākhaṇḍacapeṭikā","fol. 15b

iti śrīmadvijayarāmācāryaviracitā pākhaṇḍacapeṭikā samāptā //","Colophon phrase","99988","MS Pune BORI 269-1892-95",""
"101227","Colophon phrase of MS Pune BORI 270-1882-83","101220","Bhagavadbhaktiratnāvalī","fol. 40a

iti śrīmatpuruṣottamacaraṇāravindakṛpāmakarandabindupronmīlitavivekatairabhaktaparamahaṃsaviṣṇupurīgrathitāyāṃ śrībhāgavatāmṛtābdhilabdhiśrībhagavadbhaktiratnāvalyāṃ trayodaśavirañcanaṃ samāptam //13//","Colophon phrase","101222","MS Pune BORI 270-1882-83",""
"101271","Colophon phrase of MS Pune BORI 271-1882-83","101220","Bhagavadbhaktiratnāvalī","fol. 46b

iti śrīmatpuruṣottamacaraṇāravindakṛpāmakarandabindupronmīlitavivekatairabhuktaparamahaṃsaviṣṇupurīgrathitāyāṃ śrībhāgavatāmṛtābdhiśrībhagavadbhaktiratnāvalyāṃ trayodaśaṃ viracanaṃ sampūrṇam /","Colophon phrase","101267","MS Pune BORI 271-1882-83",""
"101015","Colophon phrase of MS Pune BORI 272-1882-83","91389","Vivrṭi on Vallabha's Siddhāntarahasya","fol. 11b

iti śrīpitṛcaraṇaikatānaśrīgokulanāthaviracitā bhaktisiddhāntavivṛtiḥ samāptā //cha// //cha// //śrī//","Colophon phrase","101011","MS Pune BORI 272-1882-83",""
"100020","Colophon phrase of MS Pune BORI 272-1891-95","91558","Commentary on Vallabha's Puṣṭipravāhamaryadā","fol. 1a

iti śrīśrīmadvallabhanandacaraṇaikaśaraṇaraghunāthasya kṛtau puṣṭipravāhamaryādāvivecanavivaraṇaṃ sampūrṇam //","Colophon phrase","100015","MS Pune BORI 272-1891-95",""
"102578","Colophon phrase of MS Pune BORI 273-1882-83","91654","Commentary on Vallabha's Vivekadhairyāśraya","fol. 41b

vivekadhairyāśrayāṇāṃ vivṛtiḥ kṛtiśarmaṇe /

śrīgovindasutenoktā gokulotsavasūriṇā // 1 //

iti vivekadhairyāśrayavivṛti sampūrṇā //","Colophon phrase","102574","MS Pune BORI 273-1882-83",""
"99470","Colophon phrase of MS Pune BORI 273-1884-87","99458","Nārāyaṇasārasaṃgraha","fol. 37a

iti śrīsārasaṅgrahe bhāgavatārādhanamahātmyaṃ kathanaṃ nāma pūrva samāptaṃ / śrīmate

hayagrīvāya namaḥ /","Colophon phrase","99466","MS Pune BORI 273-1884-87",""
"100852","Colophon phrase of MS Pune BORI 273-1891-95","100848","Bhaktimārgaprakaraṇasaṅgraha","fol. 2b

iti śrīmaddāsānudāsviracitanijācāryacintanaprakāraḥ prathamaḥ samāptaḥ //1//","Colophon phrase","100849","MS Pune BORI 273-1891-95",""
"100854","Colophon phrase of MS Pune BORI 273-1891-95","100848","Bhaktimārgaprakaraṇasaṅgraha","fol. 127a

iti śrīharidāsaviracitā sevanā bhāvanā samāptaḥ //","Colophon phrase","100849","MS Pune BORI 273-1891-95",""
"100856","Colophon phrase of MS Pune BORI 273-1891-95","100848","Bhaktimārgaprakaraṇasaṅgraha","fol. 138b

iti śrīviṭṭhalādhīśasvāmināmaśataṃ śubhaṃ /

aṣṭottaraṃ sadā cintyaṃ sarvacintānivṛttaye //

 

iti śrīviṭṭhaleśāṣṭottaraśatanāmāvalī haridāsaviracitā samāptā //","Colophon phrase","100849","MS Pune BORI 273-1891-95",""
"101330","Colophon phrase of MS Pune BORI 274-1892-95","90569","Bhagavannāmakaumudī","fol. 49a

iti śrīmadanantānandaraghunāthaparamahaṃsaparivrājakācāryapādapadmopajīvinaḥ śrīmannṛsiṃhasūnor lakṣmīdharasya kṛtau bhagavannāmakaumudyāṃ nāmakīrttanasya kavalasyaiva puruṣārthatvapratipādanaṃ nāma tṛtīyaḥ paricchedaḥ / samāpto 'yaṃ granthaḥ /","Colophon phrase","101326","MS Pune BORI 274-1892-95",""
"102120","Colophon phrase of MS Pune BORI 278-1892-95","102114","Yogavāsiṣṭhasāraṭīkā","fol. 30b

Comm:

śrīviśveśvaraviracitāyāṃ yogavāsiṣṭasāre ṭīkāyāṃ daśamaṃ prakaraṇam // 10 //","Colophon phrase","102115","MS Pune BORI 278-1892-95",""
"101491","Colophon phrase of MS Pune BORI 279-1879-80","101484","Bhāgavatavivṛtiprakāśa","fol. 186a

iti śrīgopījanavallabhacarainakattānarīviṭṭhaladīkṣitaviracitau daśamaskandha prakaraṇadvayavivṛttiprakāśaḥ samāptaḥ //","Colophon phrase","101487","MS Pune BORI 279-1879-80",""
"102093","Colophon phrase of MS Pune BORI 279-1892-95","41923","Yogavāsiṣṭhasāravivṛti","fol. 42b

Comm:

iti śrīyogavāsiṣṭasāravivaraṇe mahīdharakṛte daśamaṃ prakaraṇaṃ samāptam // 10 //","Colophon phrase","102088","MS Pune BORI 279-1892-95",""
"101989","Colophon phrase of MS Pune BORI 280-1892-95","101984","Saṁsārataraṇī","fol. 138a

iti śrīvālmīkīye vāsiṣṭharāmāyaṇe nirvāṇaprakaraṇe saptabhūmikopākhyānaṃ nāma tricatvāriṃśattamas sargas sampūrṇaḥ // rāma //","Colophon phrase","101985","MS Pune BORI 280-1892-95",""
"101991","Colophon phrase of MS Pune BORI 280-1892-95","101984","Saṁsārataraṇī","fol. 138a

Comm:

iti saṃsārataraṇināmni vāsiṣṭḥavivaraṇe nirvāṇaprakaraṇe yogasaptabhūmikopākhyānaṃ tricatvāriṃśattamaḥ sargaḥ //","Colophon phrase","101985","MS Pune BORI 280-1892-95",""
"102190","Colophon phrase of MS Pune BORI 281-1892-95","102183","Rāmagītā saṭīkayā","fol. 13a

Text: 

iti śrīrāmagītā samāptā //","Colophon phrase","102184","MS Pune BORI 281-1892-95",""
"102192","Colophon phrase of MS Pune BORI 281-1892-95","102183","Rāmagītā saṭīkayā","fol. 13a

Comm: 

iti śrīmahīdharaviracitā rāmagītā saṭīkayā samāpta //","Colophon phrase","102184","MS Pune BORI 281-1892-95",""
"99739","Colophon phrase of MS Pune BORI 281-1895-98","99710","Pañcadaśī","fol. 177a - Comm:

iti śrī ... śrīrāmakṛṣṇākhya viduṣā viracite upadeśagranthavivaraṇe viṣayānandaḥ pañcamo 'dhyāyaḥ // 15 // oṃ //","Colophon phrase","99735","MS Pune BORI 281-1895-98",""
"102421","Colophon phrase of MS Pune BORI 281-B-1879-80","102416","Vijñānanavakā","fol. 39b

iti śrīśaṅkarācāryyaviracitaṃ vijñānanavakā samāptam // 1 //","Colophon phrase","102417","MS Pune BORI 281-B-1879-80",""
"100255","Colophon phrase of MS Pune BORI 282-A-1879-80","88636","Bālabodha(saṃgraha)","fol.3b

iti bahirmukhāntaḥ pravaṇa bālabodhinyāṃ prathamaḥ kalpaḥ //1//

fol. 6a

iti śrīmatparamahaṃsa...govinda...śiṣyaśaṅkarabhagavatkṛtā bālabodhinī samāptaḥ //","Colophon phrase","100251","MS Pune BORI 282-A-1879-80",""
"103941","Colophon phrase of MS Pune BORI 282-B-1879-80","96147","Svarūpanirṇaya","fol. 8b

iti svarūpanirṇaya samāptaḥ/","Colophon phrase","103937","MS Pune BORI 282-B-1879-80",""
"102324","Colophon phrase of MS Pune BORI 283-1892-95","102319","Vajrasūciprakaraṇa","fol. 7b

śrīmacchaṅkarācāryaviracitā vajrasūcīprakaraṇaṃ śrī śrī","Colophon phrase","102320","MS Pune BORI 283-1892-95",""
